,,,,,,
,Sales ID,Date,Product Name,Total Revenue,Sales Location,Sales Medium
,AT-18056,07/Jun/20,Nescafe,$279.30 ,Australian Capital Territory,Online
,AT-9867,14/May/19,Nescafe,$263.46 ,Australian Capital Territory,Direct
,AT-11225,07/Jul/19,Nescafe,$258.72 ,Australian Capital Territory,Online
,AT-3208,25/Jun/18,Nescafe,$236.88 ,Australian Capital Territory,Online
,AT-18812,04/Jul/20,Nescafe,$235.20 ,Australian Capital Territory,Online
,AT-20812,16/Sep/20,Nescafe,$230.91 ,Australian Capital Territory,Online
,AT-2937,15/Jun/18,Nescafe,$227.09 ,Australian Capital Territory,Direct
,AT-306,26/Jan/18,Nescafe,$223.65 ,Australian Capital Territory,Direct
,AT-3855,18/Jul/18,Nescafe,$223.65 ,Australian Capital Territory,Direct
,AT-22548,16/Nov/20,Nescafe,$212.91 ,Australian Capital Territory,Direct
,AT-2259,17/May/18,Nescafe,$209.88 ,Australian Capital Territory,Direct
,AT-22319,09/Nov/20,Nescafe,$209.48 ,Australian Capital Territory,Online
,AT-15018,21/Nov/19,Nescafe,$200.98 ,Australian Capital Territory,Direct
,AT-14251,26/Oct/19,Nescafe,$200.66 ,Australian Capital Territory,Online
,AT-13493,29/Sep/19,Nescafe,$188.16 ,Australian Capital Territory,Online
,AT-8196,10/Feb/19,Nescafe,$182.96 ,Australian Capital Territory,Direct
,AT-11475,16/Jul/19,Nescafe,$177.42 ,Australian Capital Territory,Direct
,AT-10768,21/Jun/19,Nescafe,$175.18 ,Australian Capital Territory,Online
,AT-10719,19/Jun/19,Nescafe,$173.26 ,Australian Capital Territory,Direct
,AT-4935,27/Aug/18,Nescafe,$172.04 ,Australian Capital Territory,Direct
,AT-20541,06/Sep/20,Nescafe,$167.12 ,Australian Capital Territory,Direct
,AT-8255,14/Feb/19,Nescafe,$165.62 ,Australian Capital Territory,Online
,AT-22620,19/Nov/20,Nescafe,$162.21 ,Australian Capital Territory,Direct
,AT-8040,31/Jan/19,Nescafe,"$3,049.39 ",Australian Capital Territory,Direct
,AT-16008,19/Feb/20,Nescafe,"$2,910.78 ",Australian Capital Territory,Direct
,AT-16706,01/Apr/20,Nescafe,"$2,866.50 ",Australian Capital Territory,Online
,AT-11959,03/Aug/19,Nescafe,"$2,744.00 ",Australian Capital Territory,Online
,AT-13836,10/Oct/19,Nescafe,"$2,632.28 ",Australian Capital Territory,Direct
,AT-16134,27/Feb/20,Nescafe,"$2,572.50 ",Australian Capital Territory,Online
,AT-4116,27/Jul/18,Nescafe,$12.81 ,Australian Capital Territory,Direct
,AT-7135,14/Nov/18,Nescafe,$12.81 ,Australian Capital Territory,Online
,AT-16768,04/Apr/20,Nescafe,$12.74 ,Australian Capital Territory,Direct
,AT-14200,24/Oct/19,Nescafe,$12.74 ,Australian Capital Territory,Online
,AT-15016,21/Nov/19,Nescafe,$12.47 ,Australian Capital Territory,Online
,AT-11739,26/Jul/19,Nescafe,$12.10 ,Australian Capital Territory,Direct
,AT-12524,24/Aug/19,Nescafe,$12.10 ,Australian Capital Territory,Direct
,AT-9454,23/Apr/19,Nescafe,$11.94 ,Australian Capital Territory,Online
,AT-15253,29/Nov/19,Nescafe,$12.90 ,Australian Capital Territory,Online
,AT-18005,05/Jun/20,Nescafe,$12.74 ,Australian Capital Territory,Direct
,AT-8062,02/Feb/19,Nescafe,$12.13 ,Australian Capital Territory,Direct
,AT-11041,01/Jul/19,Nescafe,$12.10 ,Australian Capital Territory,Online
,AT-4872,24/Aug/18,Nescafe,$11.80 ,Australian Capital Territory,Direct
,AT-22262,07/Nov/20,Nescafe,"$2,082.19 ",Australian Capital Territory,Direct
,AT-19732,07/Aug/20,Nescafe,"$2,070.25 ",Australian Capital Territory,Online
,AT-9095,04/Apr/19,Nescafe,"$2,038.40 ",Australian Capital Territory,Online
,AT-18630,28/Jun/20,Nescafe,"$1,940.52 ",Australian Capital Territory,Direct
,AT-16653,29/Mar/20,Nescafe,"$1,837.50 ",Australian Capital Territory,Online
,AT-3915,20/Jul/18,Nescafe,"$1,801.91 ",Australian Capital Territory,Direct
,AT-21486,10/Oct/20,Nescafe,"$1,769.51 ",Australian Capital Territory,Direct
,AT-7711,04/Jan/19,Nescafe,"$1,751.75 ",Australian Capital Territory,Online
,AT-4664,17/Aug/18,Nescafe,"$1,749.30 ",Australian Capital Territory,Online
,AT-5582,20/Sep/18,Nescafe,"$1,749.30 ",Australian Capital Territory,Online
,AT-880,03/Mar/18,Nescafe,"$1,740.73 ",Australian Capital Territory,Online
,AT-21546,12/Oct/20,Nescafe,"$1,663.31 ",Australian Capital Territory,Direct
,AT-4874,24/Aug/18,Maggi,$811.87 ,Australian Capital Territory,Online
,AT-5792,27/Sep/18,Maggi,$369.03 ,Australian Capital Territory,Online
,AT-10355,05/Jun/19,Maggi,"$1,845.16 ",Australian Capital Territory,Online
,AT-11462,15/Jul/19,Maggi,"$2,361.80 ",Australian Capital Territory,Online
,AT-14612,07/Nov/19,Maggi,$516.64 ,Australian Capital Territory,Online
,AT-18266,14/Jun/20,Maggi,$442.84 ,Australian Capital Territory,Online
,AT-19022,11/Jul/20,Maggi,$147.61 ,Australian Capital Territory,Online
,AT-22550,16/Nov/20,Maggi,$295.23 ,Australian Capital Territory,Online
,AT-547,11/Feb/18,Maggi,$696.72 ,Australian Capital Territory,Direct
,AT-2448,26/May/18,Maggi,$497.66 ,Australian Capital Territory,Direct
,AT-2622,03/Jun/18,Maggi,$922.80 ,Australian Capital Territory,Direct
,AT-6078,07/Oct/18,Maggi,$497.66 ,Australian Capital Territory,Direct
,AT-7023,10/Nov/18,Maggi,$497.66 ,Australian Capital Territory,Direct
,AT-8167,08/Feb/19,Maggi,"$3,185.00 ",Australian Capital Territory,Direct
,AT-10668,17/Jun/19,Maggi,"$2,488.28 ",Australian Capital Territory,Direct
,AT-11748,26/Jul/19,Maggi,"$2,488.28 ",Australian Capital Territory,Direct
,AT-14961,19/Nov/19,Maggi,"$2,886.41 ",Australian Capital Territory,Direct
,AT-16075,23/Feb/20,Maggi,"$1,891.09 ",Australian Capital Territory,Direct
,AT-16289,07/Mar/20,Maggi,$298.59 ,Australian Capital Territory,Direct
,AT-16790,05/Apr/20,Maggi,$298.59 ,Australian Capital Territory,Direct
,AT-18579,26/Jun/20,Maggi,$398.13 ,Australian Capital Territory,Direct
,AT-19335,23/Jul/20,Maggi,$597.19 ,Australian Capital Territory,Direct
,AT-22899,28/Nov/20,Maggi,"$2,189.69 ",Australian Capital Territory,Direct
,AT-829,28/Feb/18,Kit Kat,"$1,826.56 ",Australian Capital Territory,Online
,AT-1585,12/Apr/18,Kit Kat,"$1,074.45 ",Australian Capital Territory,Online
,AT-2446,26/May/18,Kit Kat,$191.87 ,Australian Capital Territory,Online
,AT-5320,10/Sep/18,Kit Kat,$422.10 ,Australian Capital Territory,Online
,AT-6076,07/Oct/18,Kit Kat,$295.47 ,Australian Capital Territory,Online
,AT-8670,10/Mar/19,Kit Kat,$184.19 ,Australian Capital Territory,Online
,AT-13231,19/Sep/19,Kit Kat,"$1,227.94 ",Australian Capital Territory,Online
,AT-14149,22/Oct/19,Kit Kat,$736.76 ,Australian Capital Territory,Online
